source,type,target,provider,account_id,tech_family
es-ranger-test.data-engineering.myteksi.net.,A,ingress.prd-eks-spark-sandbox-001.data-engineering.myteksi.net.,AWS,,
es-test.data-engineering.myteksi.net.,A,kubernetes-production-ingress.data-engineering.myteksi.net.,AWS,,
flink-ui.data-engineering.myteksi.net.,A,kubernetes-production-ingress.data-engineering.myteksi.net.,AWS,,
flower-preston.data-engineering.myteksi.net.,A,ingress.prd-0001-eks.data-engineering.myteksi.net.,AWS,,
hive-server2.data-engineering.myteksi.net.,A,dualstack.internal-ac32f6ac5c18a11e98c510a852ea9204-869258187.ap-southeast-1.elb.amazonaws.com.,AWS,,
kibana-ranger-test.data-engineering.myteksi.net.,A,ingress.prd-eks-spark-sandbox-001.data-engineering.myteksi.net.,AWS,,
kubeless.data-engineering.myteksi.net.,A,kubernetes-production-ingress.data-engineering.myteksi.net.,AWS,,
kubernetes-production-ingress.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
kubernetes.data-engineering.myteksi.net.,A,kubernetes-production-ingress.data-engineering.myteksi.net.,AWS,,
lighthouse.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
logging-elasticsearch-prod.data-engineering.myteksi.net.,A,dualstack.internal-a64f6c9a65b4111e9b5220af2eb92a16-1842852824.ap-southeast-1.elb.amazonaws.com.,AWS,,
logging-elasticsearch-staging.data-engineering.myteksi.net.,A,dualstack.internal-a625044e45b4011e9b5220af2eb92a16-1690284575.ap-southeast-1.elb.amazonaws.com.,AWS,,
magic-presto-1.data-engineering.myteksi.net.,A,dualstack.internal-aef0ca181c30611e9bb7006d539eb117-956702690.ap-southeast-1.elb.amazonaws.com.,AWS,,
magic-presto-alb.data-engineering.myteksi.net.,A,dualstack.internal-f4a05347-prestoverse-prest-cdef-419777914.ap-southeast-1.elb.amazonaws.com.,AWS,,
mongo.data-engineering.myteksi.net.,A,dualstack.a99710a79e0ac11e7b049027d7aa2538-120691604.ap-southeast-1.elb.amazonaws.com.,AWS,,
neo4j-bolt.data-engineering.myteksi.net.,A,dualstack.internal-a248b12c05cad11e8a6750260c80ef2d-1754608857.ap-southeast-1.elb.amazonaws.com.,AWS,,
neo4j.data-engineering.myteksi.net.,A,kubernetes-production-ingress.data-engineering.myteksi.net.,AWS,,
