source,type,target,provider,account_id,tech_family
obs.stg-myteksi.com.,SOA,ns-1693.awsdns-19.co.uk. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400,AWS,583373956923,
_4ikmkvl2jt9ftwumc2de.obs.stg-myteksi.com.,TXT,"""vpce:f7vZjPB26WMUdXWmtdS9""",AWS,583373956923,
_fc12a10f4fa27fa0b3a978e8fb32acb2.obs.stg-myteksi.com.,CNAME,_9fb2c08cb2ec594ce66375b4d9d3d95e.wggjkglgrm.acm-validations.aws.,AWS,583373956923,
alert-webhook.obs.stg-myteksi.com.,CNAME,internal-stg-alert-webhook-1656451746.ap-southeast-1.elb.amazonaws.com,AWS,583373956923,
db-metrics-api.obs.stg-myteksi.com.,CNAME,stg-metrics-api.cth0oemjjuzh.ap-southeast-1.rds.amazonaws.com,AWS,583373956923,
lightstep.obs.stg-myteksi.com.,A,internal-stg-lightstep-100503483.ap-southeast-1.elb.amazonaws.com.,AWS,583373956923,
metrics-api.obs.stg-myteksi.com.,A,internal-stg-metrics-api-237993858.ap-southeast-1.elb.amazonaws.com.,AWS,583373956923,
opentelemetry-collector.obs.stg-myteksi.com.,A,internal-stg-opentelemetry-collector-419575169.ap-southeast-1.elb.amazonaws.com.,AWS,583373956923,
periscope-burrow.obs.stg-myteksi.com.,A,internal-stg-periscope-burrow-1913620465.ap-southeast-1.elb.amazonaws.com.,AWS,583373956923,
periscope-elasticsearch-read-coordinator.obs.stg-myteksi.com.,A,dualstack.internal-stg-periscope-es-read-coord-308727570.ap-southeast-1.elb.amazonaws.com.,AWS,583373956923,
periscope-elasticsearch-seeds.obs.stg-myteksi.com.,A,"10.10.233.110,10.10.232.221,10.10.232.11",AWS,583373956923,
periscope-elasticsearch-write-coordinator-a.obs.stg-myteksi.com.,A,dualstack.stg-periscope-es-write-coord-a-f9ab237efddc4744.elb.ap-southeast-1.amazonaws.com.,AWS,583373956923,
periscope-elasticsearch-write-coordinator-b.obs.stg-myteksi.com.,A,dualstack.stg-periscope-es-write-coord-b-7f519f48114bfd67.elb.ap-southeast-1.amazonaws.com.,AWS,583373956923,
periscope-elasticsearch-write-coordinator-c.obs.stg-myteksi.com.,A,dualstack.stg-periscope-es-write-coord-c-f159bc602b011dff.elb.ap-southeast-1.amazonaws.com.,AWS,583373956923,
periscope-gateway.obs.stg-myteksi.com.,A,internal-stg-periscope-gateway-1356096549.ap-southeast-1.elb.amazonaws.com.,AWS,583373956923,
periscope-kibana.obs.stg-myteksi.com.,A,dualstack.internal-stg-periscope-kibana-internal-866393185.ap-southeast-1.elb.amazonaws.com.,AWS,583373956923,
grab-bat.net.,MX,10 feedback-smtp.us-east-1.amazonses.com,AWS,392368127043,
grab-bat.net.,NS,"ns-620.awsdns-13.net.,ns-1815.awsdns-34.co.uk.,ns-90.awsdns-11.com.,ns-1150.awsdns-15.org.",AWS,392368127043,
grab-bat.net.,SOA,ns-620.awsdns-13.net. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400,AWS,392368127043,
grab-bat.net.,TXT,"""v=spf1 include:amazonses.com ~all"",""google-site-verification=QNZcwlZ7tFlh3thz70gwwpKWzdlZZiSkH0jTau8EDbE""",AWS,392368127043,
_amazonses.grab-bat.net.,TXT,"""dFStFI94zgWXH9B7REc72lkRiFqiyh+oFkFdwrrr8QE="",""9QfdKtQh/OclUNdGv16F48K02L3c3UqFUeDfrgUT0f4=""",AWS,392368127043,
_c2e2b16ba0872bc6cad14516f040001c.grab-bat.net.,CNAME,_de7757ff59260f77d2da19fbdba34ec2.tljzshvwok.acm-validations.aws.,AWS,392368127043,
