ip,association_id,allocation_id
13.250.193.36,eipassoc-fc09f231,eipalloc-2643791c
13.250.229.110,,eipalloc-a7ba8e9d
13.251.111.16,,eipalloc-fb9580c1
13.251.135.105,,eipalloc-f1373ccb
13.251.233.45,eipassoc-c2e9480f,eipalloc-fdccd4c7
13.251.37.154,,eipalloc-bf363d85
13.251.66.87,,eipalloc-0c414c36
18.138.140.140,eipassoc-8679e87a,eipalloc-0a5665dc881b96145
18.138.141.143,eipassoc-0be355c6,eipalloc-0c111cb5bce433254
18.138.48.65,eipassoc-b9a9bf62,eipalloc-0b494a121f65ca96c
18.138.97.119,eipassoc-c9a31404,eipalloc-013405c993068e470
18.139.65.155,eipassoc-5b26b0a7,eipalloc-0c04c40adce78f896
18.140.217.15,eipassoc-0cf5ebd7,eipalloc-08fcfb7c6bf6fd9bd
3.0.113.61,eipassoc-a93a3472,eipalloc-0c1b2a144338cca3a
3.0.220.149,eipassoc-e654da1a,eipalloc-0983ff4813edf4e38
52.220.160.211,eipassoc-1d7840c6,eipalloc-42d5ef78
52.220.9.75,eipassoc-7e538b82,eipalloc-43d5ef79
52.221.45.158,eipassoc-5b9b43a7,eipalloc-d2407ae8
52.74.96.188,,eipalloc-0043623ffcc65d122
52.76.0.112,eipassoc-a323f65f,eipalloc-98cdffa2
52.77.115.194,eipassoc-046c7ddf,eipalloc-09033ac30a8b55edb
52.77.121.129,eipassoc-1b3f88d6,eipalloc-0b3ce28bcd60f5608
52.77.169.205,,eipalloc-022b2738
52.77.5.89,eipassoc-b21fb37f,eipalloc-0c3622fef25437906
52.77.50.184,,eipalloc-8b3b17ee
54.169.200.192,eipassoc-30b322cc,eipalloc-00b48e18bb1b3d88d
54.169.91.225,,eipalloc-06303b3c
54.254.163.23,,eipalloc-3d263307
54.255.158.152,,eipalloc-bd363d87
13.228.185.100,eipassoc-388b0fc4,eipalloc-6496055e
13.251.191.56,eipassoc-7c91fc80,eipalloc-0ec708959d4114f02
18.140.220.134,eipassoc-086ce9966a516419b,eipalloc-0ff38a78b7110c20e
52.220.202.156,eipassoc-8e93fe72,eipalloc-055b30b9a75022183
52.221.153.9,eipassoc-9d71cb61,eipalloc-194c177c
52.221.45.206,eipassoc-0c97faf0,eipalloc-09892e32bd864a351
54.251.178.103,eipassoc-8f93fe73,eipalloc-0390def1c83328401
13.228.93.17,,eipalloc-09a999e9656729b00
13.251.234.127,,eipalloc-0f4c1320a1925d0a6
18.136.170.191,eipassoc-08515cd3,eipalloc-0ce8aa05f4443c794
18.136.171.78,eipassoc-379d3efa,eipalloc-0d32a11120d26d56c
18.136.223.80,eipassoc-9133254a,eipalloc-0ab38ca3222328ead
18.138.100.202,eipassoc-0de08ff28868c650d,eipalloc-0de8208efc13e2464
18.138.159.136,eipassoc-3315a0fe,eipalloc-094672170d1e66d95
18.138.188.179,eipassoc-e744533c,eipalloc-0155036061faba76e
18.138.211.10,eipassoc-7599f689,eipalloc-02cd72f4f1991b8e1
18.138.90.190,,eipalloc-0ab092ee8253ee21a
18.139.129.220,eipassoc-023f2e3906119a7e8,eipalloc-08c742d095777df22
18.139.25.186,,eipalloc-09b807b7f0a98a8c5
18.139.5.217,eipassoc-d6a4332a,eipalloc-0fc9b1b0cabdd1041
3.0.113.156,eipassoc-029b1b6c8f2be5b88,eipalloc-0d260c7bd0d002ca1
